,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,category,organization_type2,State_name_c,State_name,State_abv,State
0,89,164590,9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,Milwaukee,,53463,3.11,Executive Director,349718,90.56,111522,1350382,Human and Civil Rights : Advocacy and Education ,49634,89.75,0,1440463,WI,1999023.0,Human and Civil Rights , Advocacy and Education ,WISCONSIN,Wisconsin,WI,55.0
1,86,1001560,'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,Hilo,,73500,1.47,Executive Director,1175965,85.92,54613,14773920,Education : Early Childhood Programs and Services ,382540,85.95,0,3912270,HI,3339358.0,Education , Early Childhood Programs and Services ,HAWAII,Hawaii,HI,15.0
2,85,93957,AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,New York,,85000,0.99,Executive Director,-461502,77.65,248833,-770370,International : Development and Relief Services ,0,80.96,0,8157850,NY,8039138.0,International , Development and Relief Services ,NEW YORK,New York,NY,36.0
3,86,346867,Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169,Brooklyn,,61220,0.78,Acting Executive Director,1872733,97.5,384550,11460087,"Education : Scholarship and Financial Support , ",-81726,89.94,0,7018262,NY,9704138.0,Education ," Scholarship and Financial Support , ",NEW YORK,New York,NY,36.0
4,97,135195,Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080,Temecula,,74244,5.41,President,-103940,87.08,87436,723772,Religion : Religious Activities ,32436,90.62,0,1148407,CA,1234662.0,Religion , Religious Activities ,CALIFORNIA,California,CA,6.0
5,100,505751,Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436,San Francisco,,312498,2.85,President & Founder,1931497,93.14,377933,40621685,Human and Civil Rights : Advocacy and Education ,320916,95.14,0,10059539,CA,12355178.0,Human and Civil Rights , Advocacy and Education ,CALIFORNIA,California,CA,6.0
6,89,103173,Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467,Stone Mountain,,85665,7.27,Executive Director,-126216,99.94,49542,3579208,Community Development : Housing and Neighborhood Development ,-13057,92.22,33556,1024283,GA,536485.0,Community Development , Housing and Neighborhood Development ,GEORGIA,Georgia,GA,13.0
7,100,663845,Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974,Gaithersburg,,154999,6.01,Executive Director,-294094,79.94,218404,7474607,Environment : Environmental Protection and Conservation ,101537,85.81,0,1695556,MD,2170503.0,Environment , Environmental Protection and Conservation ,MARYLAND,Maryland,MD,24.0
8,100,77155,"It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793,Atlanta,,110110,7.36,Executive Director,107849,89.98,76939,808446,"Health : Medical Research , ",10299,92.91,0,1340579,GA,1473462.0,Health ," Medical Research , ",GEORGIA,Georgia,GA,13.0
9,89,200643,Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427,Bellevue,,98048,5.89,Executive Director,-59227,78.66,238249,1173256,"Education : Scholarship and Financial Support , ",29857,83.02,0,1225020,WA,1574828.0,Education ," Scholarship and Financial Support , ",WASHINGTON,Washington,WA,53.0
