,State_name,overall_score_average,Animals_score_average,Arts_score_average,Community_score_average,Education_score_average,Environment_score_average,Health_score_average,HumanServices_score_average,CivilRights_score_average,International_score_average,Religion_score_average,Research_score_average
0,Alabama,84.46057692307691,94.44,81.7925,85.89181818181818,84.64,89.92,85.4925,83.66533333333334,86.775,88.785,79.85,87.05
1,Alaska,83.485,,89.86,81.895,,77.23666666666666,,90.00833333333333,,,71.69,
2,Arizona,88.25396396396394,90.05499999999999,84.315,88.374,89.58875,90.545,87.24133333333333,89.8097222222222,88.19,86.51833333333333,83.15,86.75
3,Arkansas,83.26333333333334,,80.81333333333333,,85.95,,83.44,83.81615384615384,,84.71,82.434,
4,California,87.17805269186711,88.9376923076923,85.83838028169016,88.24230769230766,87.719696969697,86.19890909090908,87.0134065934066,88.41355555555555,87.21469387755103,88.48085714285712,79.83875000000002,85.85555555555557
5,Colorado,87.29147982062786,89.47416666666665,84.91620689655174,86.43076923076924,87.6076923076923,88.4035,86.60882352941177,89.15469696969699,89.43249999999999,86.7909090909091,83.73454545454544,86.66400000000002
6,Connecticut,86.82909909909917,90.72200000000001,86.00047619047618,87.69875000000002,84.197,89.66399999999999,87.6823076923077,86.50551724137931,78.3,91.78714285714285,77.83666666666666,82.09
7,Delaware,89.045,84.34666666666668,87.696,89.8475,93.055,90.97,91.59,89.90166666666669,,,,
8,District of Columbia,86.82920918367347,87.07181818181817,84.49272727272725,87.58833333333332,88.24461538461537,88.09394736842106,87.4725925925926,90.00659090909093,86.31246376811598,86.62899999999999,76.11111111111111,86.42304347826085
9,Florida,88.48327956989247,91.37121212121212,87.73315789473683,88.71208333333334,90.21689655172413,90.39125000000001,86.50724999999998,88.90425675675674,84.81,86.96785714285714,78.914,89.83
10,Georgia,86.88362068965519,88.75111111111111,85.780625,87.8157894736842,87.19909090909091,92.85875,85.74249999999999,87.75682539682542,72.10666666666667,90.18777777777777,82.47833333333331,81.38
11,Hawaii,84.89869565217391,86.63,78.37624999999998,89.96000000000001,83.39500000000001,,87.80333333333333,92.23666666666668,,75.49,,
12,Idaho,90.41399999999999,96.10666666666668,84.84,84.95,87.99,94.71,,90.15142857142858,,84.34,,
13,Illinois,87.49460966542746,91.36,84.79413793103448,87.10000000000001,87.4290909090909,89.79111111111109,85.94714285714286,88.79938271604937,89.26444444444445,90.38384615384615,82.71625,81.19
14,Indiana,86.25465517241379,90.60428571428572,84.09214285714287,87.83954545454546,84.5625,86.92,76.9342857142857,87.37324999999997,82.04,86.13666666666666,87.245,
