,State_name,Education rank,Enviromental rank,Health Rank
0,Alabama,39.0,46.0,47.0
1,Alaska,4.0,36.0,29.0
2,Arizona,49.0,28.0,31.0
3,Arkansas,35.0,41.0,48.0
4,California,31.0,9.0,17.0
5,Colorado,38.0,21.0,7.0
6,Connecticut,5.0,7.0,5.0
7,Delaware,13.0,19.0,30.0
8,District of Columbia,2.0,,
9,Florida,43.0,34.0,32.0
10,Georgia,41.0,24.0,41.0
11,Hawaii,17.0,16.0,2.0
12,Idaho,51.0,15.0,14.0
13,Illinois,14.0,26.0,27.0
14,Indiana,36.0,42.0,38.0
15,Iowa,23.0,31.0,15.0
16,Kansas,24.0,38.0,25.0
17,Kentucky,37.0,48.0,42.0
18,Louisiana,26.0,49.0,49.0
19,Maine,15.0,11.0,23.0
20,Maryland,12.0,18.0,16.0
21,Massachusetts,9.0,3.0,1.0
22,Michigan,25.0,20.0,35.0
23,Minnesota,18.0,6.0,6.0
24,Mississippi,45.0,40.0,50.0
25,Missouri,30.0,27.0,40.0
26,Montana,27.0,33.0,22.0
27,Nebraska,20.0,32.0,13.0
28,Nevada,47.0,12.0,37.0
29,New Hampshire,11.0,8.0,8.0
30,New Jersey,6.0,13.0,12.0
31,New Mexico,32.0,30.0,36.0
32,New York,3.0,4.0,10.0
33,North Carolina,48.0,22.0,33.0
34,North Dakota,16.0,47.0,18.0
35,Ohio,19.0,37.0,39.0
36,Oklahoma,46.0,44.0,43.0
37,Oregon,34.0,2.0,20.0
38,Pennsylvania,10.0,25.0,28.0
39,Rhode Island,1.0,10.0,11.0
40,South Carolina,33.0,29.0,44.0
41,South Dakota,40.0,5.0,24.0
42,Tennessee,44.0,23.0,45.0
43,Texas,42.0,43.0,34.0
44,Utah,50.0,39.0,4.0
45,Vermont,7.0,1.0,3.0
46,Virginia,28.0,35.0,19.0
47,Washington,29.0,17.0,9.0
48,West Virginia,21.0,50.0,46.0
49,Wisconsin,22.0,14.0,21.0
50,Wyoming,8.0,45.0,26.0
